c1;c2;c3;c4;c5;score_cv;score_test
4;6;0,2;0,9;0,6;0,8226055;0,820627803
4;6;0,4;0,6;0,4;0,8180195;0,820627803
4;6;0,4;0,6;0,6;0,815787125;0,820627803
4;6;0,6;0,6;0,8;0,80231325;0,820627803
4;6;0,6;0,9;0,8;0,829139625;0,820627803
4;6;0,8;0,6;0,5;0,806818125;0,820627803
4;7;0,6;0,9;0,6;0,822524375;0,820627803
4;7;0,7;0,8;0,6;0,808928625;0,820627803
4;7;0,8;0,6;0,8;0,8000405;0,820627803
4;8;0,4;0,9;0,4;0,811323;0,820627803
4;9;0,7;0,6;0,9;0,809172125;0,820627803
4;9;0,7;0,8;0,4;0,804423875;0,820627803
4;10;0,7;0,9;0,4;0,822483625;0,820627803
4;10;0,8;0,9;0,4;0,8180195;0,820627803
4;11;0,6;0,9;0,6;0,826988625;0,820627803
4;11;0,7;0,6;0,5;0,784375;0,820627803
4;11;0,7;0,9;0,4;0,8202515;0,820627803
4;11;0,8;0,9;0,4;0,8180195;0,820627803
4;12;0,6;0,9;0,6;0,826988625;0,820627803
4;12;0,7;0,9;0,4;0,8202515;0,820627803
4;12;0,8;0,9;0,4;0,8180195;0,820627803
4;13;0,6;0,9;0,6;0,826988625;0,820627803
4;13;0,7;0,9;0,4;0,8202515;0,820627803
4;13;0,8;0,9;0,4;0,8180195;0,820627803
4;4;0,2;0,9;0,4;0,80223225;0,81838565
4;4;0,2;0,9;0,5;0,800040625;0,81838565
4;4;0,2;0,9;0,6;0,809050375;0,81838565
4;4;0,2;0,9;0,7;0,809050375;0,81838565
4;4;0,2;0,9;0,8;0,80677775;0,81838565
4;4;0,5;0,9;0,9;0,827029375;0,81838565
4;4;0,8;0,5;0,5;0,802354;0,81838565
4;4;0,8;0,5;0,6;0,802313375;0,81838565
4;4;0,8;0,5;0,7;0,802354;0,81838565
4;4;0,8;0,8;0,4;0,80661525;0,81838565
4;5;0,3;0,9;0,6;0,80925325;0,81838565
4;5;0,4;0,9;0,4;0,813677;0,81838565
